"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"HARVEST PIPELINE COMPANY","Hilcorp Energy","$45,100","$0","$45,100","2011","20110215","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420115004.html?nocache=4290",""
"Hilcorp Energy Company","Hilcorp Energy","$26,100","$0","$26,100","2012","20121115","environment-related offenses","environmental violation","","The Hilcorp Energy Company of Houston has been fined $26,100 by the Environmental Protection Agency for Spill Prevention, Control and Countermeasure violations under the Clean Water Act.","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/54e975706d206fab85257ab70069e41e.html",""
"Hilcorp Energy GOM, LLC","Hilcorp Energy","$170,000","$0","$170,000","2011","20111221","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BOEMRE inspection, the inspectors discovered a surface controlled subsurface safety valve (SCSSV) was blocked and inoperable. This rendered the safety device incapable of performing its designed function. It was not blocked / inoperable due to startup, testing or maintenance and was not flagged or being monitored by personnel. It was determined that the isolation valve on the main well panel was placed in the closed position while returning the Well to production after an upset and was inadvertently left isolated. As a result, this action would have prevented the SCSSV from functioning if either the Emergency Shut-down System or Fire Detection Shut-in System would have been activated.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2011-Civil/Criminal-Penalties",""
"Hilcorp Energy GOM, LLC","Hilcorp Energy","$160,000","$0","$160,000","2013","20130412","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BSEE inspection, it was discovered that four group bypass selector switches were placed in bypass mode (flagged) but  left unmonitored.  March 30, 2012 (4 violations) ","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/reports/cp-paid-2013.pdf",""
"Hilcorp Energy GOM, LLC","Hilcorp Energy","$75,000","$0","$75,000","2014","20140814","environment-related offenses","environmental violation","offshore drilling violation","During a BSEE onsite inspection, three INCs were issued and forwarded for civil penalty review. An inspector discovered a LSL on the L.P. Separator was in bypass mode, and the separator win in operation and not being tested or maintained. Another violation discovered was that the bottom isolation valve for the LSH on the sump was in the closed position. The sump was not being tested or maintained. The third violation discovered was a valve on the air supply for the sump pump was in the closed position preventing its ability to automatically operate.  May 24, 2012 (3 violations) ","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2014-revised-42115.pdf",""
"Hilcorp Energy GOM, LLC","Hilcorp Energy","$60,000","$0","$60,000","2013","20130712","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BSEE inspection, the inspectors discovered two (2) Open Hole/Fall Hazards posing a threat to the safety of personnel on the rig. July 28-30, 2012 ","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/reports/cp-paid-2013.pdf",""
"Hilcorp Energy GOM, LLC","Hilcorp Energy","$40,000","$0","$40,000","2013","20130412","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BSEE inspection, the inspector discovered that the SDV for the incoming pipeline (KAQ-2100) selector switch was in test mode (bypassed).  September 14, 2012 ","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/reports/cp-paid-2013.pdf",""
"Hilcorp Energy GOM, LLC","Hilcorp Energy","$40,000","$0","$40,000","2012","20120725","environment-related offenses","environmental violation","offshore drilling violation","BSEE investigated a fatality due to an accident that occurred during work to plug and abandon wells and decommissioning a platform. The employee fell through a hole in the deck while moving a power swivel stand.  April 18, 2011 ","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2012.pdf",""
"Hilcorp Energy GOM, LLC","Hilcorp Energy","$25,000","$0","$25,000","2012","20120725","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BSEE inspection, the Inspectors discovered a failure to comply with the subsurface safety system requirements of the regulations in that the SCSSV for a well was bypassed and blocked out of service.  January 11, 2012 ","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2012.pdf",""
"Hilcorp Energy GOM, LLC","Hilcorp Energy","$25,000","$0","$25,000","2010","20100616","environment-related offenses","environmental violation","offshore drilling violation","During the course of an investigation, the lessee did not perform the compressor maintenance operations in a safe and workmanlikemanner causing a flash fire and injury.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2010-Civil/Criminal-Penalties",""
"Hilcorp Energy GOM, LLC","Hilcorp Energy","$15,000","$0","$15,000","2011","20111118","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BOEMRE inspection, the inspectors discovered that the bypass selector switch on the control panel for the LSL sensor was found to be bypassed and not flagged or monitored by personnel. This rendered the LSL unable to perform the approved design function to provide primary protection from a leak in the pressurized vessel and/or associated equipment. This created the potential for hazardous accumulation, a gas blowby situation, and/or release of hydrocarbons and a threat to personnel, environment, and property.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2011-Civil/Criminal-Penalties",""
