"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Elementis Pigments, Inc.","Huntsman Corp.","$250,000","$0","$250,000","2006","20060801","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-28363-001","","","Illinois","East St. Louis","","62205","325131","325131: Inorganic Dye and Pigment Manufacturing","USA","Utah","publicly traded","HUN","chemicals","chemicals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"HUNTSMAN CORPORATION","Huntsman Corp.","$10,000","$0","$10,000","2013","20130404","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Huntsman Corporation","Huntsman Corp.","$10,000","$0","$10,000","2005","20050913","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Huntsman Corporation","Huntsman Corp.","$9,000","$0","$9,000","2006","20061220","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Huntsman Corporation","Huntsman Corp.","$8,500","$0","$8,500","2000","20000314","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2000 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Huntsman Corporation","Huntsman Corp.","$8,500","$0","$8,500","2000","20000314","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2000 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"HUNTSMAN CORPORATION","Huntsman Corp.","$5,000","$0","$5,000","2015","20151209","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://railroads.dot.gov/elibrary/fiscal-year-2016-enforcement-report",""
"HUNTSMAN CORPORATION","Huntsman Corp.","$5,000","$0","$5,000","2016","20160416","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"HUNTSMAN CORPORATION","Huntsman Corp.","$5,000","$0","$5,000","2014","20141030","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Huntsman Corporation","Huntsman Corp.","$5,000","$0","$5,000","2002","20020104","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Huntsman Chemical Corporation","Huntsman Corp.","$7,500","$0","$7,500","2007","20070105","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Huntsman Chemical Corporation","Huntsman Corp.","$7,000","$0","$7,000","2002","20020103","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Huntsman Chemical Corporation","Huntsman Corp.","$6,500","$0","$6,500","2000","20000314","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2000 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Huntsman Chemical Corporation","Huntsman Corp.","$5,000","$0","$5,000","2015","20151007","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://railroads.dot.gov/elibrary/fiscal-year-2016-enforcement-report",""
"Huntsman Chemical Corporation","Huntsman Corp.","$5,000","$0","$5,000","2015","20150708","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Huntsman Chemical Corporation","Huntsman Corp.","$5,000","$0","$5,000","2010","20100212","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"Huntsman Chemical Corporation","Huntsman Corp.","$5,000","$0","$5,000","2008","20080301","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Huntsman International LLC","Huntsman Corp.","$6,500","$0","$6,500","2008","20080109","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"HUNTSMAN INTERNATIONAL LLC","Huntsman Corp.","$5,000","$0","$5,000","2013","20130301","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"HUNTSMAN PETROCHEMICAL CORP.","Huntsman Corp.","$10,000","$0","$10,000","2015","20151014","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://railroads.dot.gov/elibrary/fiscal-year-2016-enforcement-report",""
"Huntsman Petrochemical Corp.","Huntsman Corp.","$5,000","$0","$5,000","2008","20080730","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"HUNTSMAN PERFORMANCE PRODUCTS","Huntsman Corp.","$10,000","$0","$10,000","2010","20101014","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"HUNTSMAN PERFORMANCE PRODUCTS","Huntsman Corp.","$10,000","$0","$10,000","2010","20100816","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"Huntsman Performance Products","Huntsman Corp.","$10,000","$0","$10,000","2008","20080730","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"HUNTSMAN PERFORMANCE PRODUCTS","Huntsman Corp.","$5,000","$0","$5,000","2016","20160108","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"HUNTSMAN PERFORMANCE PRODUCTS","Huntsman Corp.","$5,000","$0","$5,000","2015","20150615","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Huntsman Petrochemical Corp., Port Neches TX","Huntsman Corp.","$36,896","$0","$36,896","2003","20030205","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-22025-001","","","Texas","Port Neches","","77651","325110","325110: Petrochemical Manufacturing","USA","Utah","publicly traded","HUN","chemicals","chemicals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Huntsman Port Neches Performance Products","Huntsman Corp.","$10,000","$0","$10,000","2015","20150721","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"HUNTSMAN P&A AMER LLC","Huntsman Corp.","$5,200","$0","$5,200","2010","20100324","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HUNTSMAN P&A AMER LLC","Huntsman Corp.","$7,000","$0","$7,000","2004","20041008","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HUNTSMAN P&A AMER LLC","Huntsman Corp.","$13,357","$0","$13,357","2018","20180619","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"HUNTSMAN P&A AMER LLC","Huntsman Corp.","$25,920","$0","$25,920","2017","20171130","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Utah","publicly traded","HUN","chemicals","chemicals","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
