"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Chrylser Parts Distribution Center","Stellantis","$100,000","$0","$100,000","2008","20081204","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-20772-001","","","Colorado","Denver","","80239","493190","493190: Other Warehousing and Storage","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Chrysler Group LLC","Stellantis","$60,000","$0","$60,000","2011","20110525","employment-related offenses","employment discrimination","","gender","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Wisconsin","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://www.eeoc.gov/eeoc/newsroom/release/5-25-11c.cfm","Description field shows type of discrimination that EEOC had alleged."
"Chrysler Group LLC","Stellantis","$15,000","$0","$15,000","2015","20151221","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1757065","","","Illinois","Belvidere","","61008","336111","336111: Automobile Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Chrysler, LLC f/k/a DaimlerChrysler Corp.","Stellantis","$100,000","$0","$100,000","2009","20090316","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-46857-001","","","Michigan","Detroit","","48234","336111","336111: Automobile Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"DAIMLER CHRYSLER (KOKOMO TRANSMISSION)","Stellantis","$100,000","$0","$100,000","2009","20090625","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-29968-001","","","Indiana","Kokomo","","46904","336350","336350: Motor Vehicle Transmission and Power Train Parts Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Daimler Chrysler","Stellantis","$41,629","$0","$41,629","2007","20070820","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1481260","","","Ohio","Toledo","","43604","3363","3363: Motor Vehicle Parts Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Daimler-Chrysler","Stellantis","$10,336","$0","$10,336","2005","20050317","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-34602-001","","","Georgia","Morrow","","30260","493190","493190: Other Warehousing and Storage","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"DaimlerChrysler","Stellantis","$32,500","$0","$32,500","2004","20041105","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/11052004.pdf",""
"DaimlerChrysler Corporation","Stellantis","$94,000,000","$0","$94,000,000","2005","20051221","environment-related offenses","environmental violation","","To settle Clean Air Act allegations involving defective emission controls on nearly 1.5 million vehicles, DaimlerChrysler Corporation agreed to spend $90 million on extended warranties and a recall, pay a penalty of $1 million and spend $3 million on a supplementary environmental project.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://www.justice.gov/archive/opa/pr/2005/December/05_enrd_688.html",""
"DaimlerChrysler Corporation","Stellantis","$400,000","$0","$400,000","2000","20000719","safety-related offenses","motor vehicle safety violation","","Untimely recall ? fuel rail leaks, clutch line failures","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://one.nhtsa.gov/Laws-&-Regulations/Civil_Penalties_1999%E2%80%932012",""
"DaimlerChrysler Corporation","Stellantis","$95,000","$0","$95,000","2001","20010109","safety-related offenses","motor vehicle safety violation","","False certification of compliance with FMVSS","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://one.nhtsa.gov/Laws-&-Regulations/Civil_Penalties_1999%E2%80%932012",""
"DaimlerChrysler Corporation Warren Stamping","Stellantis","$5,000","$0","$5,000","2004","20040816","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-45726-001","","","Michigan","Warren","","48091","336111","336111: Automobile Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Fiat Chrysler Automobiles","Stellantis","$105,000,000","$0","$105,000,000","2015","20150726","safety-related offenses","motor vehicle safety violation","","violations of the Motor Vehicle Safety Act's requirements to repair vehicles with safety defects","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://web.archive.org/web/20180423205627/https://www.nhtsa.gov/press-releases/us-dot-announces-fiat-chrysler-enforcement-action",""
"Fiat Chrysler Automobiles","Stellantis","$70,000,000","$0","$70,000,000","2015","20151210","safety-related offenses","motor vehicle safety violation","","The National Highway Traffic Safety Administration imposed a $70 million civil penalty on Fiat Chrysler Automobiles for failing to report legally required safety data.","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://web.archive.org/web/20180423205606/https://www.nhtsa.gov/press-releases/us-dot-fines-fiat-chrysler-70-million-failure-provide-early-warning-report-data-nhtsa",""
"FIAT CHRYSLER AUTOMOBILES GROUP, NV","Stellantis","$48,652","$0","$48,652","2015","20151026","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-141151","","","Arizona","Yucca","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Fiat S.p.A.","Stellantis","$10,809,142","$0","$10,809,142","2008","20081222","competition-related offenses","Foreign Corrupt Practices Act","","Fiat S.p.A. and its subsidiary CNH Global N.V. settled allegations that from 2000 through 2003 certain of their subsidiaries made approximately $4.3 million in kickback payments in connection with the sale of humanitarian goods to Iraq under the United Nations Oil for Food Program.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://www.sec.gov/litigation/litreleases/2008/lr20835.htm",""
"Fiat S.p.A.","Stellantis","$7,000,000","$0","$7,000,000","2008","20081222","competition-related offenses","Foreign Corrupt Practices Act","","Fiat S.p.A. agreed to a $7 million penalty for illegal kickbacks paid to officials of the former Iraqi government by three of its subsidiaries. Fiat agreed to pay the fine as part of a deferred prosecution agreement. The matter was part of the Justice Department's ongoing investigation into the United Nations Oil for Food program.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://www.justice.gov/archive/opa/pr/2008/December/08-crm-1140.html",""
"Global Engine Mfg. Alliance","Stellantis","$290,000","$0","$290,000","2010","20100921","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-52105-001","","","Michigan","Dundee","","48131","336111","336111: Automobile Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Fiat Chrysler Automobiles N.V.","Stellantis","$515,000,000","$0","$515,000,000","2019","20190110","environment-related offenses","environmental violation","","The Department of Justice, the EPA and the State of California announced a settlement with Fiat Chrysler Automobiles N.V., FCA US, and affiliates for alleged violations of the Clean Air Act and California law. Fiat Chrysler agreed to implement a recall program to repair more than 100,000 noncompliant diesel vehicles sold or leased in the United States, offer an extended warranty on repaired vehicles, and pay a civil penalty of $305 million to settle claims of cheating emission tests and failing to disclose unlawful defeat devices. Fiat Chrysler also agreed to implement a program to mitigate excess pollution from these vehicles.  The recall and federal mitigation programs were estimated to cost up to approximately $185 million. In a separate settlement with California, Fiat Chrysler agreed to pay an additional $19 million to mitigate excess emissions from more than 13,000 of the noncompliant vehicles in California. In addition, in a separate administrative agreement with the United States Customs and Border Protection, Fiat Chrysler agreed to  pay a $6 million civil penalty to resolve allegations of illegally importing 1,700 noncompliant vehicles.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://www.justice.gov/opa/pr/civil-settlements-united-states-and-california-fiat-chrysler-will-resolve-allegations",""
"CHRYSLER LLC TOLEDO MACHINING","Stellantis","$7,000","$0","$7,000","2008","20080401","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","PERRYSBURG","8000 CHRYSLER DR.","43551","336399","336399: All Other Motor Vehicle Parts Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHRYSLER LLC","Stellantis","$5,000","$0","$5,000","2008","20080115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","TOLEDO","4400 CHRYSLER DR.","43608","336111","336111: Automobile Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHRYSLER LLC","Stellantis","$7,000","$0","$7,000","2007","20070924","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","KOKOMO","1001 EAST BOULEVARD","46904","336399","336399: All Other Motor Vehicle Parts Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHRYSLER CORPORATION, LLC","Stellantis","$9,000","$0","$9,000","2008","20080306","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","BELVIDERE","3000 W. CHRYSLER DRIVE","61008","336111","336111: Automobile Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIMLER CHRYSLER STERLING STAMPING","Stellantis","$5,355","$0","$5,355","2006","20060404","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","STERLING HEIGHTS","35777 VANDYKE","48312","336211","336211: Motor Vehicle Body Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIMLER CHRYSLER CORPORATION","Stellantis","$7,176","$0","$7,176","2005","20050728","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","KOKOMO","2401 SOUTH REED ROAD","46904","336399","336399: All Other Motor Vehicle Parts Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIMLER CHRYSLER CORPORATION","Stellantis","$31,750","$0","$31,750","2005","20051221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","BELVIDERE","3000 W. CHRYSLER DRIVE","61008","336111","336111: Automobile Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIMLER CHRYSLER MACK AVE ENGINE PLANT #1","Stellantis","$5,625","$0","$5,625","2004","20040916","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","DETROIT","4000 ST JEAN","48214","336312","336312: Gasoline Engine and Engine Parts Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIMLER CHRYSLER CORP.","Stellantis","$24,000","$0","$24,000","2004","20040831","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","TOLEDO","1000 CENTRAL AVE.","43615","336111","336111: Automobile Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHRYSLER LLC","Stellantis","$7,750","$0","$7,750","2004","20040831","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","TOLEDO","4400 CHRYSLER DR.","43608","336111","336111: Automobile Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIMLER CHRYSLER CORP.","Stellantis","$11,250","$0","$11,250","2004","20040116","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","PERRYSBURG","8000 CHRYSLER DR.","43551","336399","336399: All Other Motor Vehicle Parts Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIMLER CHRYSLER CORPORATION","Stellantis","$10,000","$0","$10,000","2004","20041202","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Delaware","NEWARK","550 S. COLLEGE AVENUE","19711","336111","336111: Automobile Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIMLER CHRYSLER CORPORATION","Stellantis","$68,500","$0","$68,500","2000","20000420","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","TWINSBURG","2000 E. AURORA RD.","44087","000000","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIMLER CHRYSLER CORP.","Stellantis","$7,000","$0","$7,000","2000","20000216","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","TOLEDO","1000 CENTRAL AVE.","43615","000000","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIMLER CHRYSLER CHELSEA PROVING GROUNDS","Stellantis","$5,140","$0","$5,140","2000","20000814","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","CHELSEA","3700 S M 52","48118","000000","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHRYSLER LLC","Stellantis","$152,500","$0","$152,500","2000","20000518","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","TOLEDO","4400 CHRYSLER DR.","43608","000000","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIMLER CHRYSLER CORPORATION - SOUTH PLANT","Stellantis","$11,250","$0","$11,250","2005","20050718","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","FENTON","1001 N. HIGHWAY DRIVE","63026","336111","336111: Automobile Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIMLER CHRYSLER CORPORATION","Stellantis","$6,075","$0","$6,075","2006","20061128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","FENTON","1001 NORTH HIGHWAY DRIVE","63026","336111","336111: Automobile Manufacturing","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHRYSLER GROUP LLC","Stellantis","$7,250","$0","$7,250","2010","20100527","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2010NM710013","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"Fiat","Stellantis","$1,984,400","$0","$1,984,400","2013","20130201","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2011","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Fiat","Stellantis","$1,583,082","$0","$1,583,082","2011","20111201","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2010","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Fiat","Stellantis","$1,470,392","$0","$1,470,392","2010","20101101","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2009","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Chrysler","Stellantis","$90,640","$0","$90,640","2009","20091201","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2008","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Fiat","Stellantis","$44,814","$0","$44,814","2009","20091201","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2008","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Maserati Automobiles of America Inc.","Stellantis","$1,302,560","$0","$1,302,560","2009","20091001","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2008","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"DaimlerChrysler","Stellantis","$357,576","$0","$357,576","2009","20090101","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2007","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"DaimlerChrysler","Stellantis","$28,947,776","$0","$28,947,776","2008","20081201","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2007","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","STLA","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
