"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Country Fresh, LLC","Dairy Farmers of America (DFA)","$84,750","$0","$84,750","2017","20170405","employment-related offenses","employment discrimination","","gender","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Michigan","Livonia","","","","","USA","Missouri","cooperative","","food products","food products","https://www.eeoc.gov/eeoc/newsroom/release/4-5-17b.cfm","Description field shows type of discrimination that EEOC had alleged."
"Dairy Farmers of America, Inc.","Dairy Farmers of America (DFA)","$12,000,000","$0","$12,000,000","2008","20081216","financial offenses","investor protection violation","securities issuance or trading violation","The U.S. Commodity Futures Trading Commission announced that the Dairy Farmers of America, Inc., its former chief executive officer and its former chief financial officer would pay a $12 million civil monetary penalty for attempting to manipulate the Class III milk futures contract and exceeding speculative position limits in that contract.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Missouri","cooperative","","food products","food products","http://www.cftc.gov/PressRoom/PressReleases/pr5584-08",""
"Dairy Farmers of America, Inc.","Dairy Farmers of America (DFA)","$5,669","$0","$5,669","2005","20050215","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1387103","","","Minnesota","Zumbrota","","55992","311513","311513: Cheese Manufacturing","USA","Missouri","cooperative","","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Dean Foods Company","Dairy Farmers of America (DFA)","$400,000","$0","$400,000","2004","20040914","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Missouri","cooperative","","food products","food products","https://www.sec.gov/litigation/litreleases/lr18884.htm",""
"Dean Foods Company","Dairy Farmers of America (DFA)","$5,829","$0","$5,829","2006","20061111","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1462624","","","Pennsylvania","Indiana","","15701","424430","424430: Dairy Product (except Dried or Canned) Merchant Wholesalers","USA","Missouri","cooperative","","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"DEAN FOODS LLC","Dairy Farmers of America (DFA)","$16,830","$0","$16,830","2005","20050630","safety-related offenses","motor vehicle safety violation","","MA-2005-0034-US0536","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Massachusetts","FRANKLIN","","","","","USA","Missouri","cooperative","","food products","food products","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2005-pdf","Year is fiscal year. Date is closing date."
"Dean Foods, Inc.","Dairy Farmers of America (DFA)","$8,009","$0","$8,009","2011","20110131","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-35858-001","","","Virginia","Richmond","","23220","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"DEAN INTERNATIONAL INC","Dairy Farmers of America (DFA)","$15,000","$0","$15,000","2012","20120229","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Missouri","cooperative","","food products","food products","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"McArthur Dairy","Dairy Farmers of America (DFA)","$16,500","$0","$16,500","2003","20031015","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-23196-001","","","Florida","Sunrise","","33325","424430","424430: Dairy Product (except Dried or Canned) Merchant Wholesalers","USA","Missouri","cooperative","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"DAIRY FARMERS OF AMER INC","Dairy Farmers of America (DFA)","$8,755","$0","$8,755","2015","20150513","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Missouri","cooperative","","food products","food products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"DAIRY FARMERS OF AMER INC","Dairy Farmers of America (DFA)","$18,000","$0","$18,000","2006","20061206","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Missouri","cooperative","","food products","food products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Shenandoah's Pride Dairy","Dairy Farmers of America (DFA)","$13,000","$0","$13,000","2010","20100630","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-35718-001","","","Virginia","Springfield","","22151","722310","722310: Food Service Contractors","USA","Missouri","cooperative","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"SOUTHERN FOODS GROUP LLC","Dairy Farmers of America (DFA)","$26,580","$0","$26,580","2008","20081204","safety-related offenses","motor vehicle safety violation","","LA-2008-0049-LA1920","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Louisiana","SHREVEPORT","","","","","USA","Missouri","cooperative","","food products","food products","https://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/closedByEnforcement_FY2009_04-26-2013.pdf",""
"Suiza Dairy","Dairy Farmers of America (DFA)","$4,025,000","$0","$4,025,000","2012","20121001","environment-related offenses","environmental violation","","Suiza Dairy agreed to pay a penalty and make significant upgrades to settle Clean Air Act violations. The case stemmed from violations at two Suiza Dairy Corporation dairies located in Rio Piedras and Aguadilla, Puerto Rico, including two major releases of anhydrous ammonia from the Rio Piedras facility. As part of the consent decree, Suiza agreed to pay a penalty of $275,000 and spend approximately $3.75 million on projects to improve the refrigeration systems at both facilities, considerably reduce the amount of anhydrous ammonia in the systems at both facilities, improve alarm and ammonia release notification procedures, and provide medical training and/or equipment to medical personnel to treat persons affected by exposure to anhydrous ammonia.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Puerto Rico","","","","","","USA","Missouri","cooperative","","food products","food products","http://www.justice.gov/opa/pr/settlement-suiza-dairy-corporation-violations-facilities-puerto-rico-will-make-facilities",""
"Suiza Dairy Corporation","Dairy Farmers of America (DFA)","$12,800","$0","$12,800","2016","20161020","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-149727","","","Puerto Rico","San Juan","","","","","USA","Missouri","cooperative","","food products","food products","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"SOUTHERN FOODS GROUP, LLC DBA MEADOW GOLD DAIRIES","Dairy Farmers of America (DFA)","$15,300","$0","$15,300","2010","20100628","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","ENGLEWOOD","1325 W. OXFORD AVENUE","80110","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAYFIELD DAIRY FARMS LLC","Dairy Farmers of America (DFA)","$6,432","$0","$6,432","2009","20090526","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","ATHENS","806 EAST MADISON AVE","37371","112120","112120: Dairy Cattle and Milk Production","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MCARTHUR DAIRY, INC.","Dairy Farmers of America (DFA)","$6,000","$0","$6,000","2009","20090820","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","MIAMI","6851 NE 2ND AVE","33138","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LAND-O-SUN DAIRIES DBA PET DAIRY","Dairy Farmers of America (DFA)","$5,400","$0","$5,400","2009","20090112","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","KINGSPORT","1113 KONNAROCK ROAD","37664","311514","311514: Dry, Condensed, and Evaporated Dairy Product Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COUNTRY FRESH, INC.","Dairy Farmers of America (DFA)","$14,853","$0","$14,853","2008","20081119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","ORLANDO","701 JETSTREAM DR.","32824","424480","424480: Fresh Fruit and Vegetable Merchant Wholesalers","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAYFIELD DAIRY FARMS INC.","Dairy Farmers of America (DFA)","$5,000","$0","$5,000","2009","20091029","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","BRASELTON","1160 BROADWAY AVE.","30517","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PURITY DAIRIES LLC","Dairy Farmers of America (DFA)","$5,850","$0","$5,850","2008","20080205","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","NASHVILLE","360 MURFREESBORO RD","37210","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAYFIELD DAIRY FARMS INC.","Dairy Farmers of America (DFA)","$9,125","$0","$9,125","2006","20060413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","BRASELTON","1160 BROADWAY AVE.","30517","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BARBER MILK, INC.","Dairy Farmers of America (DFA)","$5,625","$0","$5,625","2006","20060111","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","BIRMINGHAM","36 BARBER COURT","35209","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DEAN DAIRY PRODUCTS COMPANY","Dairy Farmers of America (DFA)","$8,000","$0","$8,000","2006","20060725","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","SHARPSVILLE","1858 ONEIDA LANE","16150","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAYFIELD DAIRY FARMS, INC.","Dairy Farmers of America (DFA)","$6,250","$0","$6,250","2006","20060406","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","CARROLLTON","145 W. GEORGIA INDUSTRIAL DRIVE","30117","424430","424430: Dairy Product (except Dried or Canned) Merchant Wholesalers","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DAIRY FARMERS OF AMERICA INC","Dairy Farmers of America (DFA)","$8,235","$0","$8,235","2007","20070413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","VENTURA","4375 NORTH VENTURA AVE","93001","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SUIZA DAIRY CORPORATION","Dairy Farmers of America (DFA)","$9,250","$0","$9,250","2006","20061108","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Puerto Rico","SAN JUAN","AVE DE DIEGO ESQ SAN PATRICIO","00921","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COUNTRY FRESH INC","Dairy Farmers of America (DFA)","$17,085","$0","$17,085","2004","20040826","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","FLINT","609 S CHAVEZ","48503","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GARELICK FARMS","Dairy Farmers of America (DFA)","$6,080","$0","$6,080","2004","20041001","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","RENSSELAER","504 THIRD AVENUE EXT.","12144","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BERKELEY FARMS","Dairy Farmers of America (DFA)","$6,840","$0","$6,840","2005","20051024","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","HAYWARD","25500 CLAWITER RD","94545","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KOHLER MIX SPECIALTIES","Dairy Farmers of America (DFA)","$7,700","$0","$7,700","2003","20031024","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","WHITE BEAR LAKE","4041 HWY 61","55110","311520","311520: Ice Cream and Frozen Dessert Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DEAN SPECIALTY FOODS GROUP LLC","Dairy Farmers of America (DFA)","$18,000","$0","$18,000","2004","20040226","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","DIXON","820 PALMYRA AVE.","61021","311513","311513: Cheese Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GARELICK FARMS OF LYNN","Dairy Farmers of America (DFA)","$31,500","$0","$31,500","2002","20020506","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","LYNN","626 LYNNWAY","01901","000000","","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SUIZA DBA MEADOW GOLD DAIRIES, INC.","Dairy Farmers of America (DFA)","$88,000","$0","$88,000","2001","20010716","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","ENGLEWOOD","1325 W. OXFORD AVE.","80150","000000","","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SUIZA DBA MEADOW GOLD DAIRIES, INC.","Dairy Farmers of America (DFA)","$27,800","$0","$27,800","2001","20010116","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","ENGLEWOOD","1325 W. OXFORD AVE.","80150","000000","","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SHENANDOAH'S PRIDE, LLC","Dairy Farmers of America (DFA)","$6,045","$0","$6,045","2000","20001129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","SPRINGFIELD","5325 PORT ROYAL ROAD","22151","000000","","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DEAN FOODS CO OF CALIFORNIA INC","Dairy Farmers of America (DFA)","$9,140","$0","$9,140","2002","20020313","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BUENA PARK","6400 REGIO AVE","90620","000000","","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BERKELEY FARMS","Dairy Farmers of America (DFA)","$7,905","$0","$7,905","2002","20020925","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN LEANDRO","2550 MERCED STREET, BLDG. 8","94577","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BERKELEY FARMS","Dairy Farmers of America (DFA)","$5,700","$0","$5,700","2002","20020405","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN LEANDRO","2550 MERCED STREET, BLDG. 8","94577","000000","","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COUNTRY FRESH LLC","Dairy Farmers of America (DFA)","$10,837","$0","$10,837","2000","20000309","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","LIVONIA","31770 ENTERPRISE DR","48150","000000","","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COUNTRY FRESH LLC","Dairy Farmers of America (DFA)","$14,735","$0","$14,735","2001","20011113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","GRAND RAPIDS","2555 BUCHANAN AVE SW","49548","000000","","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MELODY FARMS","Dairy Farmers of America (DFA)","$9,900","$0","$9,900","2000","20000426","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","LANSING","2224 W WILLOW ST","48917","000000","","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PURITY DAIRIES LLC","Dairy Farmers of America (DFA)","$12,713","$0","$12,713","2005","20051018","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","NASHVILLE","360 MURFREESBORO RD","37210","311511","311511: Fluid Milk Manufacturing","USA","Missouri","cooperative","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Santee Dairies","Dairy Farmers of America (DFA)","$2,225,000","$0","$2,225,000","2011","20110603","employment-related offenses","wage and hour violation","","donning and doffing","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","BC404335","DENNIS M O'CONNOR ET AL vs. SANTEE DAIRIES INC","settlement","California","","","","","","USA","Missouri","cooperative","","food products","food products","https://www.sec.gov/Archives/edgar/data/882829/000095012310113935/v58081e10vk.htm#106",""
"Kohler Mix Specialties LLC","Dairy Farmers of America (DFA)","$299,999","$0","$299,999","2012","20120113","environment-related offenses","environmental violation","","Kohler Mix Specialities agreed to pay $299,999 in settlement of allegations it had repeatedly violated its wastewater discharge permit, deliberately bypassing treatment and warning equipment and discharging wastewater from its dairy product manufacturing process into the sewer system or nearby stream.","state","agency action","Connecticut Attorney General","civil","","","","","","Connecticut","Newington","","","","","USA","Missouri","cooperative","","food products","food products","https://portal.ct.gov/AG/Press-Releases-Archived/2012-Press-Releases/Newington-Dairy-Manufacturer-to-Pay-299999-Civil-Penalty-For-Wastewater-Discharge-Violations",""
"Dean Foods Company","Dairy Farmers of America (DFA)","$120,000","$0","$120,000","2019","20191002","environment-related offenses","environmental violation","","Clean Air Act","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","California","","","","","","USA","Missouri","cooperative","","food products","food products","https://www.epa.gov/newsreleases/us-epa-settles-six-companies-over-california-trucking-rules",""
"Dean Dairy Holdings, LLC","Dairy Farmers of America (DFA)","$60,000","$0","$60,000","2016","20160503","environment-related offenses","environmental violation","","Surface Water","state","agency action","Alabama Department of Environmental Management","civil","","","16-053-CWP","","","Alabama","","","","","","USA","Missouri","cooperative","","food products","food products","http://adem.alabama.gov/compInfo/2016orders.pdf",""
"LAND-O-SUN DAIRIES LLC","Dairy Farmers of America (DFA)","$18,257","$0","$18,257","2011","20110120","environment-related offenses","environmental violation","","wastewater violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Decatur","","","","","USA","Missouri","cooperative","","food products","food products","http://www.in.gov/idem/oe/cause/AO/19159-W.htm",""
"LAND-O-SUN DAIRIES LLC","Dairy Farmers of America (DFA)","$8,738","$0","$8,738","2001","20011212","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Decatur","","","","","USA","Missouri","cooperative","","food products","food products","http://www.in.gov/idem/oe/cause/AO/10479-S.htm",""
"LAND-O-SUN DAIRIES LLC","Dairy Farmers of America (DFA)","$6,563","$0","$6,563","2001","20010501","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Decatur","","","","","USA","Missouri","cooperative","","food products","food products","http://www.in.gov/idem/oe/cause/AO/9981-S.htm",""
"GARELICK FARMS INC","Dairy Farmers of America (DFA)","$10,882","$0","$10,882","2020","20200107","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Franklin","","","","","USA","Missouri","cooperative","","food products","food products","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=GARELICK FARMS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"GARELICK FARMS LLC","Dairy Farmers of America (DFA)","$5,750","$0","$5,750","2015","20150923","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Lynn","","","","","USA","Missouri","cooperative","","food products","food products","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=GARELICK FARMS LLC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
