"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CENTRAL REFRIGERATED SERVICE, INC.","Knight-Swift Transportation","$31,980","$0","$31,980","2005","20050324","safety-related offenses","motor vehicle safety violation","","UT-2005-0001-US0650","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Utah","WEST VALLEY CITY","","","","","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2005-pdf","Year is fiscal year. Date is closing date."
"CENTRAL REFRIGERATED SERVICE, INC.","Knight-Swift Transportation","$18,360","$0","$18,360","2008","20080701","safety-related offenses","motor vehicle safety violation","","UT-2008-0049-US0976","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Utah","WEST VALLEY CITY","","","","","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2008-pdf","Year is fiscal year. Date is closing date."
"EDWARDS BROS., INC.","Knight-Swift Transportation","$14,520","$0","$14,520","2004","20041022","safety-related offenses","motor vehicle safety violation","","ID-2004-0021-US0290","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Idaho","IDAHO FALLS","","","","","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2005-pdf",""
"INTERSTATE EQUIPMENT LEASING INC","Knight-Swift Transportation","$15,000","$0","$15,000","2000","20000124","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","1998WP070111 ","","","","","","","","","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Knight Transportation, Inc.","Knight-Swift Transportation","$80,000","$0","$80,000","2007","20071101","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-22275-001","","","Tennessee","Memphis","","38115","484110","484110: General Freight Trucking, Local","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Knight Transportation, Inc.","Knight-Swift Transportation","$55,000","$0","$55,000","2009","20090908","employment-related offenses","employment discrimination","","retaliation","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Mississippi","","","","","","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","https://www.eeoc.gov/eeoc/newsroom/release/archive/9-8-09a.html","Description field shows type of discrimination that EEOC had alleged."
"Knight Transportation, Inc.","Knight-Swift Transportation","$19,896","$0","$19,896","2010","20100903","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1587857","","","California","Tulare","","93274","484110","484110: General Freight Trucking, Local","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Knight Transportation, Inc.","Knight-Swift Transportation","$13,942","$0","$13,942","2008","20081216","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1329144","","","Indiana","Indianapolis","","46241","4841","4841: General Freight Trucking","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"KNIGHT TRANSPORTATION LLC","Knight-Swift Transportation","$16,750","$0","$16,750","2014","20140819","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","South Dakota","ABERDEEN","","","","","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","https://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/closedByEnforcement_FY2014_06-19-2015.xlsx",""
"SWIFT TRANSPORTATION CO INC","Knight-Swift Transportation","$49,680","$0","$49,680","2007","20070214","safety-related offenses","motor vehicle safety violation","","AZ-2001-0071-US0255","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Arizona","PHOENIX","","","","","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2007-pdf","Year is fiscal year. Date is closing date."
"Swift Transportation Co. Inc.","Knight-Swift Transportation","$28,736","$0","$28,736","2008","20080530","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1514264","","","Utah","Salt Lake City","","84104","48412","48412: General Freight Trucking, Long-Distance","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Swift Transportation Co., Inc.","Knight-Swift Transportation","$450,000","$0","$450,000","2000","20001207","employment-related offenses","employment discrimination","","gender","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Kansas","","","","","","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","https://www.eeoc.gov/eeoc/newsroom/release/archive/12-7-00-b.html","Description field shows type of discrimination that EEOC had alleged."
"SWIFT TRANSPORTATION CO., INC.","Knight-Swift Transportation","$37,440","$0","$37,440","2007","20070214","safety-related offenses","motor vehicle safety violation","","AZ-2004-0041-US0976","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Arizona","PHOENIX","","","","","USA","Arizona","publicly traded","KNX","freight and logistics","trucking","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2007-pdf","Year is fiscal year. Date is closing date."
